id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
17794"936"34005"t"2019-07-17 16:41:14.284084-05"2019-07-17 16:41:14.2888-05"2019-07-17 16:41:14.288812-05
17795"936"27972"t"2019-07-17 16:41:17.251345-05"2019-07-17 16:41:17.25885-05"2019-07-17 16:41:17.25887-05
17796"936"34127"t"2019-07-17 16:41:45.993599-05"2019-07-17 16:41:46.001193-05"2019-07-17 16:41:46.001213-05
17797"936"30939"t"2019-07-17 16:43:33.460596-05"2019-07-17 16:43:33.46506-05"2019-07-17 16:43:33.465072-05
17798"943"31268"t"2019-07-21 07:30:44.914634-05"2019-07-21 07:30:44.919207-05"2019-07-21 07:30:44.919218-05
17799"943"31269"t"2019-07-21 07:31:00.745966-05"2019-07-21 07:31:00.75276-05"2019-07-21 07:31:00.752777-05
17800"943"34545"t"2019-07-21 07:31:14.81646-05"2019-07-21 07:31:14.820979-05"2019-07-21 07:31:14.82099-05
17801"943"34544"t"2019-07-21 07:31:19.369912-05"2019-07-21 07:31:19.374899-05"2019-07-21 07:31:19.374915-05
17802"943"30668"t"2019-07-21 07:31:29.098749-05"2019-07-21 07:31:29.10349-05"2019-07-21 07:31:29.103502-05
17803"943"30250"t"2019-07-21 07:31:35.896691-05"2019-07-21 07:31:35.901556-05"2019-07-21 07:31:35.901573-05
17804"943"34472"t"2019-07-21 07:31:39.998668-05"2019-07-21 07:31:40.00487-05"2019-07-21 07:31:40.004881-05
17805"943"28717"t"2019-07-21 07:31:51.837335-05"2019-07-21 07:31:51.841899-05"2019-07-21 07:31:51.84191-05
17806"943"28716"t"2019-07-21 07:31:57.546917-05"2019-07-21 07:31:57.551515-05"2019-07-21 07:31:57.551526-05
17807"943"34455"t"2019-07-21 07:32:01.702366-05"2019-07-21 07:32:01.707059-05"2019-07-21 07:32:01.70707-05
17808"943"34454"t"2019-07-21 07:32:06.47438-05"2019-07-21 07:32:06.478843-05"2019-07-21 07:32:06.478853-05
17809"943"34589"t"2019-07-21 07:32:16.336432-05"2019-07-21 07:32:16.340887-05"2019-07-21 07:32:16.340899-05
17810"943"34591"t"2019-07-21 07:32:20.118124-05"2019-07-21 07:32:20.122724-05"2019-07-21 07:32:20.122736-05
17811"943"34590"t"2019-07-21 07:32:25.885061-05"2019-07-21 07:32:25.891563-05"2019-07-21 07:32:25.891584-05
17812"943"34470"t"2019-07-21 07:32:29.560977-05"2019-07-21 07:32:29.566051-05"2019-07-21 07:32:29.566068-05
17813"943"34023"t"2019-07-21 07:32:35.578934-05"2019-07-21 07:32:35.583377-05"2019-07-21 07:32:35.583388-05
17814"943"34027"t"2019-07-21 07:32:41.17809-05"2019-07-21 07:32:41.182567-05"2019-07-21 07:32:41.182578-05
17815"943"33887"t"2019-07-21 07:32:44.875152-05"2019-07-21 07:32:44.879756-05"2019-07-21 07:32:44.879768-05
17816"943"34598"t"2019-07-21 07:32:51.533561-05"2019-07-21 07:32:51.538631-05"2019-07-21 07:32:51.538643-05
17817"943"34530"t"2019-07-21 07:33:04.467399-05"2019-07-21 07:33:04.474901-05"2019-07-21 07:33:04.474919-05
17818"944"27579"t"2019-07-28 07:29:48.764095-05"2019-07-28 07:29:48.768865-05"2019-07-28 07:29:48.768884-05
17819"944"34572"t"2019-07-28 07:29:58.796049-05"2019-07-28 07:29:58.800484-05"2019-07-28 07:29:58.800495-05
17820"944"33932"t"2019-07-28 07:30:05.709018-05"2019-07-28 07:30:05.713766-05"2019-07-28 07:30:05.713779-05
17821"944"23568"t"2019-07-28 07:30:13.203674-05"2019-07-28 07:30:13.208221-05"2019-07-28 07:30:13.208232-05
17822"944"27829"t"2019-07-28 07:30:20.385198-05"2019-07-28 07:30:20.389791-05"2019-07-28 07:30:20.389802-05
17823"944"34477"t"2019-07-28 07:30:28.539703-05"2019-07-28 07:30:28.544352-05"2019-07-28 07:30:28.544365-05
17824"944"34603"t"2019-07-28 07:30:36.366853-05"2019-07-28 07:30:36.371667-05"2019-07-28 07:30:36.371679-05
17825"944"34518"t"2019-07-28 07:30:44.191355-05"2019-07-28 07:30:44.196007-05"2019-07-28 07:30:44.19602-05
17826"944"34427"t"2019-07-28 07:30:50.877213-05"2019-07-28 07:30:50.883831-05"2019-07-28 07:30:50.883849-05
17827"944"31198"t"2019-07-28 07:33:54.152936-05"2019-07-28 07:33:54.158924-05"2019-07-28 07:33:54.158957-05
17828"944"31197"t"2019-07-28 07:34:03.642673-05"2019-07-28 07:34:03.647358-05"2019-07-28 07:34:03.64737-05
17829"949"7933"t"2019-08-31 07:01:49.642306-05"2019-08-31 07:01:49.647189-05"2019-08-31 07:01:49.647201-05
17830"949"8358"t"2019-08-31 07:01:56.139801-05"2019-08-31 07:01:56.144387-05"2019-08-31 07:01:56.144397-05
17833"949"34606"t"2019-08-31 07:02:11.557633-05"2019-08-31 07:02:11.562654-05"2019-08-31 07:02:11.562666-05
17837"949"34667"t"2019-08-31 07:02:29.084334-05"2019-08-31 07:02:29.091848-05"2019-08-31 07:02:29.091865-05
17838"949"34653"t"2019-08-31 07:02:33.447896-05"2019-08-31 07:02:33.452728-05"2019-08-31 07:02:33.452738-05
17841"949"10254"t"2019-08-31 07:03:00.377617-05"2019-08-31 07:03:00.382446-05"2019-08-31 07:03:00.382458-05
17846"949"34634"t"2019-08-31 07:03:35.39467-05"2019-08-31 07:03:35.399499-05"2019-08-31 07:03:35.399511-05
17853"949"31204"t"2019-08-31 07:04:22.948605-05"2019-08-31 07:04:22.953506-05"2019-08-31 07:04:22.953518-05
17854"949"33850"t"2019-08-31 07:04:28.063001-05"2019-08-31 07:04:28.067839-05"2019-08-31 07:04:28.067852-05
17864"949"7654"t"2019-08-31 07:05:33.658579-05"2019-08-31 07:05:33.663326-05"2019-08-31 07:05:33.663339-05
17865"949"34662"t"2019-08-31 07:05:47.43898-05"2019-08-31 07:05:47.443545-05"2019-08-31 07:05:47.443568-05
17867"949"34625"t"2019-08-31 07:06:20.039344-05"2019-08-31 07:06:20.044685-05"2019-08-31 07:06:20.044698-05
17868"949"34564"t"2019-08-31 07:06:43.526691-05"2019-08-31 07:06:43.531444-05"2019-08-31 07:06:43.531457-05
17870"949"20287"t"2019-08-31 07:06:51.717476-05"2019-08-31 07:06:51.722247-05"2019-08-31 07:06:51.722258-05
17880"949"25832"t"2019-08-31 07:08:21.331261-05"2019-08-31 07:08:21.336098-05"2019-08-31 07:08:21.336108-05
17884"949"34683"t"2019-08-31 07:08:42.787771-05"2019-08-31 07:08:42.792541-05"2019-08-31 07:08:42.792552-05
17885"949"34669"t"2019-08-31 07:08:51.756324-05"2019-08-31 07:08:51.761267-05"2019-08-31 07:08:51.761279-05
17886"949"34617"t"2019-08-31 07:08:57.193892-05"2019-08-31 07:08:57.198491-05"2019-08-31 07:08:57.198502-05
17887"949"34700"t"2019-08-31 07:09:00.958454-05"2019-08-31 07:09:00.963087-05"2019-08-31 07:09:00.963098-05
17888"949"34701"t"2019-08-31 07:09:04.984526-05"2019-08-31 07:09:04.989236-05"2019-08-31 07:09:04.989248-05
17889"949"34699"t"2019-08-31 07:09:07.54904-05"2019-08-31 07:09:07.553731-05"2019-08-31 07:09:07.553741-05
17890"949"34705"t"2019-08-31 07:09:10.974312-05"2019-08-31 07:09:10.978873-05"2019-08-31 07:09:10.978883-05
17891"949"34704"t"2019-08-31 07:09:14.263323-05"2019-08-31 07:09:14.270045-05"2019-08-31 07:09:14.270065-05
17892"949"34702"t"2019-08-31 07:09:19.534102-05"2019-08-31 07:09:19.539011-05"2019-08-31 07:09:19.539023-05
17893"949"34706"t"2019-08-31 07:09:23.556427-05"2019-08-31 07:09:23.561731-05"2019-08-31 07:09:23.561743-05
17894"949"34637"t"2019-08-31 07:09:26.299585-05"2019-08-31 07:09:26.304625-05"2019-08-31 07:09:26.304636-05
17895"949"8395"t"2019-08-31 07:09:29.459699-05"2019-08-31 07:09:29.464406-05"2019-08-31 07:09:29.464417-05
17897"949"26021"t"2019-08-31 07:09:39.89846-05"2019-08-31 07:09:39.903254-05"2019-08-31 07:09:39.903277-05
17898"949"34540"t"2019-08-31 07:09:44.056578-05"2019-08-31 07:09:44.061315-05"2019-08-31 07:09:44.061326-05
17899"949"34656"t"2019-08-31 07:09:53.647021-05"2019-08-31 07:09:53.651716-05"2019-08-31 07:09:53.651726-05
17905"949"34645"t"2019-08-31 07:15:21.40797-05"2019-08-31 07:15:21.412928-05"2019-08-31 07:15:21.41294-05
17906"949"34657"t"2019-08-31 07:21:37.588374-05"2019-08-31 07:21:37.592986-05"2019-08-31 07:21:37.592997-05
17908"949"34665"t"2019-08-31 07:34:36.41299-05"2019-08-31 07:34:36.41791-05"2019-08-31 07:34:36.417922-05
17910"951"34698"t"2019-09-06 05:58:01.400899-05"2019-09-06 05:58:01.405493-05"2019-09-06 05:58:01.405504-05
17911"951"34719"t"2019-09-06 05:58:09.136575-05"2019-09-06 05:58:09.143928-05"2019-09-06 05:58:09.143947-05
17912"951"34712"t"2019-09-06 05:58:17.036428-05"2019-09-06 05:58:17.043955-05"2019-09-06 05:58:17.043972-05
17913"951"34677"t"2019-09-06 05:58:25.599818-05"2019-09-06 05:58:25.604462-05"2019-09-06 05:58:25.604473-05
17914"951"34721"t"2019-09-06 05:58:34.9325-05"2019-09-06 05:58:34.937178-05"2019-09-06 05:58:34.937189-05
17915"951"34674"t"2019-09-06 06:01:15.010033-05"2019-09-06 06:01:15.017919-05"2019-09-06 06:01:15.017939-05
17916"951"34694"t"2019-09-06 06:01:30.980541-05"2019-09-06 06:01:30.985553-05"2019-09-06 06:01:30.985565-05
17917"951"34703"t"2019-09-06 06:02:48.018208-05"2019-09-06 06:02:48.023275-05"2019-09-06 06:02:48.023286-05
17918"951"34682"t"2019-09-06 06:03:51.935221-05"2019-09-06 06:03:51.939976-05"2019-09-06 06:03:51.939987-05
17919"951"34684"t"2019-09-06 06:04:03.316027-05"2019-09-06 06:04:03.320776-05"2019-09-06 06:04:03.320787-05
17920"951"34689"t"2019-09-06 06:04:18.483151-05"2019-09-06 06:04:18.487902-05"2019-09-06 06:04:18.487912-05
17921"951"34642"t"2019-09-06 06:04:36.772421-05"2019-09-06 06:04:36.777209-05"2019-09-06 06:04:36.77722-05
17922"951"34692"t"2019-09-06 06:04:52.057486-05"2019-09-06 06:04:52.0621-05"2019-09-06 06:04:52.062111-05
17923"951"34648"t"2019-09-06 06:05:09.290188-05"2019-09-06 06:05:09.295012-05"2019-09-06 06:05:09.295024-05
17924"951"34708"t"2019-09-06 06:06:17.845225-05"2019-09-06 06:06:17.849867-05"2019-09-06 06:06:17.849877-05
17925"951"34710"t"2019-09-06 06:06:30.233806-05"2019-09-06 06:06:30.23843-05"2019-09-06 06:06:30.23845-05
17926"951"34711"t"2019-09-06 06:06:44.767559-05"2019-09-06 06:06:44.772233-05"2019-09-06 06:06:44.772244-05
17927"951"34723"t"2019-09-06 06:06:57.326652-05"2019-09-06 06:06:57.331211-05"2019-09-06 06:06:57.331223-05
17928"951"34690"t"2019-09-06 06:07:14.389691-05"2019-09-06 06:07:14.394332-05"2019-09-06 06:07:14.394344-05
17929"951"34672"t"2019-09-06 06:08:13.63159-05"2019-09-06 06:08:13.638293-05"2019-09-06 06:08:13.638309-05
17930"951"34720"t"2019-09-06 06:08:32.241543-05"2019-09-06 06:08:32.248031-05"2019-09-06 06:08:32.248046-05
17931"951"34717"t"2019-09-06 06:10:49.430337-05"2019-09-06 06:10:49.435052-05"2019-09-06 06:10:49.435063-05
17932"951"34675"t"2019-09-06 06:11:05.201246-05"2019-09-06 06:11:05.205824-05"2019-09-06 06:11:05.205835-05
17933"951"34680"t"2019-09-06 06:11:58.262371-05"2019-09-06 06:11:58.267034-05"2019-09-06 06:11:58.267045-05
17934"951"34651"t"2019-09-06 06:12:10.308033-05"2019-09-06 06:12:10.312852-05"2019-09-06 06:12:10.312863-05
17935"951"34676"t"2019-09-06 06:12:29.408524-05"2019-09-06 06:12:29.413553-05"2019-09-06 06:12:29.413564-05
17936"951"34697"t"2019-09-06 06:12:42.207147-05"2019-09-06 06:12:42.211819-05"2019-09-06 06:12:42.21183-05
17937"951"34678"t"2019-09-06 06:12:59.015117-05"2019-09-06 06:12:59.019952-05"2019-09-06 06:12:59.019963-05
17938"951"34714"t"2019-09-06 06:13:18.067632-05"2019-09-06 06:13:18.0722-05"2019-09-06 06:13:18.072211-05
17939"951"34644"t"2019-09-06 06:13:48.856032-05"2019-09-06 06:13:48.862868-05"2019-09-06 06:13:48.862884-05
17940"951"34681"t"2019-09-06 06:14:25.48969-05"2019-09-06 06:14:25.496388-05"2019-09-06 06:14:25.496403-05
17941"951"34709"t"2019-09-06 06:14:37.727826-05"2019-09-06 06:14:37.734733-05"2019-09-06 06:14:37.734767-05
17942"951"34725"t"2019-09-06 06:15:57.652161-05"2019-09-06 06:15:57.657036-05"2019-09-06 06:15:57.657047-05
17943"951"34688"t"2019-09-06 06:16:10.728338-05"2019-09-06 06:16:10.733163-05"2019-09-06 06:16:10.733175-05
17944"951"34716"t"2019-09-06 06:16:22.224018-05"2019-09-06 06:16:22.228832-05"2019-09-06 06:16:22.228843-05
17945"951"34726"t"2019-09-06 06:16:32.891373-05"2019-09-06 06:16:32.8966-05"2019-09-06 06:16:32.896615-05
17946"951"34718"t"2019-09-06 06:16:44.938236-05"2019-09-06 06:16:44.943087-05"2019-09-06 06:16:44.943098-05
17947"951"34713"t"2019-09-06 06:16:55.215942-05"2019-09-06 06:16:55.222475-05"2019-09-06 06:16:55.222491-05
17948"951"34679"t"2019-09-06 06:18:08.501496-05"2019-09-06 06:18:08.506589-05"2019-09-06 06:18:08.506601-05
17949"951"34673"t"2019-09-06 06:18:18.599382-05"2019-09-06 06:18:18.604051-05"2019-09-06 06:18:18.604061-05
17950"951"34715"t"2019-09-06 06:19:29.782524-05"2019-09-06 06:19:29.788295-05"2019-09-06 06:19:29.78831-05
17951"952"34720"t"2019-09-08 10:39:15.080126-05"2019-09-08 10:39:15.085221-05"2019-09-08 10:39:15.085232-05
17952"952"34678"t"2019-09-08 10:39:24.433848-05"2019-09-08 10:39:24.440845-05"2019-09-08 10:39:24.440867-05
17953"952"34673"t"2019-09-08 10:39:34.855472-05"2019-09-08 10:39:34.441679-05"2019-09-08 10:39:34.859888-05
17954"952"34721"t"2019-09-08 10:39:43.404336-05"2019-09-08 10:39:43.409062-05"2019-09-08 10:39:43.409073-05
17955"952"34723"t"2019-09-08 10:39:51.843636-05"2019-09-08 10:39:51.848674-05"2019-09-08 10:39:51.848687-05
17956"952"34697"t"2019-09-08 10:40:04.995239-05"2019-09-08 10:40:04.999931-05"2019-09-08 10:40:04.999942-05
17957"952"34674"t"2019-09-08 10:40:22.071066-05"2019-09-08 10:40:22.07697-05"2019-09-08 10:40:22.076994-05
17958"952"34679"t"2019-09-08 10:40:35.365024-05"2019-09-08 10:40:35.369975-05"2019-09-08 10:40:35.369987-05
17959"952"34703"t"2019-09-08 10:40:53.583744-05"2019-09-08 10:40:53.588541-05"2019-09-08 10:40:53.588553-05
17960"952"34715"t"2019-09-08 10:41:05.00357-05"2019-09-08 10:41:05.008422-05"2019-09-08 10:41:05.008434-05
17961"952"34714"t"2019-09-08 10:41:14.940328-05"2019-09-08 10:41:14.945345-05"2019-09-08 10:41:14.945356-05
17962"952"34692"t"2019-09-08 10:41:27.692069-05"2019-09-08 10:41:27.696983-05"2019-09-08 10:41:27.696994-05
17963"952"34725"t"2019-09-08 10:41:36.49952-05"2019-09-08 10:41:36.505012-05"2019-09-08 10:41:36.505031-05
17964"952"34688"t"2019-09-08 10:41:43.558877-05"2019-09-08 10:41:43.563578-05"2019-09-08 10:41:43.563589-05
17965"952"34716"t"2019-09-08 10:41:53.222088-05"2019-09-08 10:41:53.226805-05"2019-09-08 10:41:53.226815-05
17966"952"34726"t"2019-09-08 10:42:10.243679-05"2019-09-08 10:42:10.248945-05"2019-09-08 10:42:10.248957-05
17967"952"34698"t"2019-09-08 10:42:19.730113-05"2019-09-08 10:42:19.734984-05"2019-09-08 10:42:19.734995-05
17968"952"34718"t"2019-09-08 10:42:29.766084-05"2019-09-08 10:42:29.770766-05"2019-09-08 10:42:29.770777-05
17969"952"34713"t"2019-09-08 10:42:37.716337-05"2019-09-08 10:42:37.721177-05"2019-09-08 10:42:37.721189-05
17970"952"34680"t"2019-09-08 10:42:45.605083-05"2019-09-08 10:42:45.610093-05"2019-09-08 10:42:45.610104-05
17971"952"34651"t"2019-09-08 10:42:55.137705-05"2019-09-08 10:42:55.142434-05"2019-09-08 10:42:55.142445-05
17972"952"34672"t"2019-09-08 10:43:06.964772-05"2019-09-08 10:43:06.969595-05"2019-09-08 10:43:06.969608-05
17973"952"34675"t"2019-09-08 10:43:16.469824-05"2019-09-08 10:43:16.474605-05"2019-09-08 10:43:16.474616-05
17974"952"34709"t"2019-09-08 10:43:27.993693-05"2019-09-08 10:43:27.99835-05"2019-09-08 10:43:27.998361-05
17975"952"34694"t"2019-09-08 10:43:42.589346-05"2019-09-08 10:43:42.594674-05"2019-09-08 10:43:42.594686-05
17976"952"34682"t"2019-09-08 10:43:51.762186-05"2019-09-08 10:43:51.767241-05"2019-09-08 10:43:51.767252-05
17977"952"34676"t"2019-09-08 10:43:54.574822-05"2019-09-08 10:43:54.583098-05"2019-09-08 10:43:54.583118-05
17978"952"34717"t"2019-09-08 10:44:02.423181-05"2019-09-08 10:44:02.42793-05"2019-09-08 10:44:02.427941-05
17979"952"34648"t"2019-09-08 10:44:08.547072-05"2019-09-08 10:44:08.555379-05"2019-09-08 10:44:08.5554-05
17980"952"34710"t"2019-09-08 10:44:10.17321-05"2019-09-08 10:44:10.179741-05"2019-09-08 10:44:10.179754-05
17981"952"34644"t"2019-09-08 10:44:19.986059-05"2019-09-08 10:44:19.990678-05"2019-09-08 10:44:19.990689-05
17982"952"34708"t"2019-09-08 10:44:20.572814-05"2019-09-08 10:44:20.577579-05"2019-09-08 10:44:20.57759-05
17983"952"34677"t"2019-09-08 10:44:27.055031-05"2019-09-08 10:44:27.062066-05"2019-09-08 10:44:27.062078-05
17984"952"34690"t"2019-09-08 10:44:28.558096-05"2019-09-08 10:44:28.562717-05"2019-09-08 10:44:28.562738-05
17985"952"34711"t"2019-09-08 10:44:34.495062-05"2019-09-08 10:44:34.499782-05"2019-09-08 10:44:34.499792-05
17986"952"34684"t"2019-09-08 10:44:38.281085-05"2019-09-08 10:44:38.285889-05"2019-09-08 10:44:38.285901-05
17987"952"34681"t"2019-09-08 10:44:46.736339-05"2019-09-08 10:44:46.74116-05"2019-09-08 10:44:46.741172-05
17989"952"34642"t"2019-09-08 10:44:57.185306-05"2019-09-08 10:44:57.189917-05"2019-09-08 10:44:57.189928-05
17990"952"34712"t"2019-09-08 10:44:57.394969-05"2019-09-08 10:44:57.399591-05"2019-09-08 10:44:57.399602-05
17988"952"34719"t"2019-09-08 10:45:08.995487-05"2019-09-08 10:44:48.219617-05"2019-09-08 10:45:08.999957-05
17991"952"34689"t"2019-09-08 10:45:16.91898-05"2019-09-08 10:45:16.929594-05"2019-09-08 10:45:16.929606-05
17993"953"34673"t"2019-09-08 14:25:46.122507-05"2019-09-08 14:25:46.127275-05"2019-09-08 14:25:46.127287-05
17994"953"34698"t"2019-09-08 14:26:05.894726-05"2019-09-08 14:26:05.899447-05"2019-09-08 14:26:05.899458-05
17995"953"34719"t"2019-09-08 14:26:21.565611-05"2019-09-08 14:26:21.571045-05"2019-09-08 14:26:21.571056-05
17996"953"34678"t"2019-09-08 14:26:43.835707-05"2019-09-08 14:26:43.840487-05"2019-09-08 14:26:43.8405-05
17997"953"34717"t"2019-09-08 14:26:56.744413-05"2019-09-08 14:26:56.74913-05"2019-09-08 14:26:56.749147-05
17998"953"34708"t"2019-09-08 14:27:06.092125-05"2019-09-08 14:27:06.09883-05"2019-09-08 14:27:06.098842-05
17999"953"34712"t"2019-09-08 14:27:20.449895-05"2019-09-08 14:27:20.454739-05"2019-09-08 14:27:20.45475-05
18000"953"34642"t"2019-09-08 14:27:28.781674-05"2019-09-08 14:27:28.786419-05"2019-09-08 14:27:28.78643-05
18001"953"34674"t"2019-09-08 14:27:40.878738-05"2019-09-08 14:27:40.883475-05"2019-09-08 14:27:40.883485-05
18002"953"34679"t"2019-09-08 14:27:48.940009-05"2019-09-08 14:27:48.944647-05"2019-09-08 14:27:48.944658-05
18003"953"34694"t"2019-09-08 14:28:00.96186-05"2019-09-08 14:28:00.967257-05"2019-09-08 14:28:00.967271-05
17992"953"34682"t"2019-09-08 14:31:22.003755-05"2019-09-08 14:25:30.274699-05"2019-09-08 14:31:22.008939-05
18004"953"34697"t"2019-09-08 14:28:09.208203-05"2019-09-08 14:28:09.213013-05"2019-09-08 14:28:09.213023-05
18005"953"34676"t"2019-09-08 14:28:19.461943-05"2019-09-08 14:28:19.466506-05"2019-09-08 14:28:19.466518-05
18006"953"34715"t"2019-09-08 14:28:26.479679-05"2019-09-08 14:28:26.484586-05"2019-09-08 14:28:26.484598-05
18007"953"34720"t"2019-09-08 14:28:36.761705-05"2019-09-08 14:28:36.766756-05"2019-09-08 14:28:36.766767-05
18008"953"34721"t"2019-09-08 14:28:42.554366-05"2019-09-08 14:28:42.55899-05"2019-09-08 14:28:42.559001-05
18010"953"34672"t"2019-09-08 14:29:10.798597-05"2019-09-08 14:29:10.803548-05"2019-09-08 14:29:10.80356-05
18011"953"34692"t"2019-09-08 14:29:17.65248-05"2019-09-08 14:29:17.659297-05"2019-09-08 14:29:17.659314-05
18012"953"34714"t"2019-09-08 14:29:34.101162-05"2019-09-08 14:29:34.106717-05"2019-09-08 14:29:34.106729-05
18013"953"34723"t"2019-09-08 14:29:45.373622-05"2019-09-08 14:29:45.378272-05"2019-09-08 14:29:45.378284-05
18014"953"34711"t"2019-09-08 14:29:53.127882-05"2019-09-08 14:29:53.132643-05"2019-09-08 14:29:53.132654-05
18015"953"34644"t"2019-09-08 14:30:08.003827-05"2019-09-08 14:30:08.009502-05"2019-09-08 14:30:08.009516-05
18016"953"34677"t"2019-09-08 14:30:19.619341-05"2019-09-08 14:30:19.624078-05"2019-09-08 14:30:19.624089-05
18017"953"34675"t"2019-09-08 14:30:42.025157-05"2019-09-08 14:30:42.032262-05"2019-09-08 14:30:42.032278-05
18018"953"34709"t"2019-09-08 14:30:53.406917-05"2019-09-08 14:30:53.411879-05"2019-09-08 14:30:53.411891-05
18019"953"34648"t"2019-09-08 14:31:07.860528-05"2019-09-08 14:31:07.865358-05"2019-09-08 14:31:07.86537-05
18020"953"34684"t"2019-09-08 14:31:38.614564-05"2019-09-08 14:31:38.619373-05"2019-09-08 14:31:38.619384-05
18021"953"34690"t"2019-09-08 14:31:47.682656-05"2019-09-08 14:31:47.687318-05"2019-09-08 14:31:47.687329-05
18009"953"34703"t"2019-09-08 14:32:18.619824-05"2019-09-08 14:29:01.010388-05"2019-09-08 14:32:18.625424-05
18022"953"34710"t"2019-09-08 14:32:32.034027-05"2019-09-08 14:32:32.03904-05"2019-09-08 14:32:32.039058-05
18023"953"34681"t"2019-09-08 14:32:40.566444-05"2019-09-08 14:32:40.57163-05"2019-09-08 14:32:40.571641-05
18024"953"34689"t"2019-09-08 14:32:54.245925-05"2019-09-08 14:32:54.250727-05"2019-09-08 14:32:54.250739-05
18025"953"34713"t"2019-09-08 14:33:04.052188-05"2019-09-08 14:33:04.057248-05"2019-09-08 14:33:04.05726-05
18026"953"34718"t"2019-09-08 14:33:11.272685-05"2019-09-08 14:33:11.277492-05"2019-09-08 14:33:11.277504-05
18027"953"34651"t"2019-09-08 14:33:20.946754-05"2019-09-08 14:33:20.951508-05"2019-09-08 14:33:20.95152-05
18028"953"34680"t"2019-09-08 14:33:27.270421-05"2019-09-08 14:33:27.275156-05"2019-09-08 14:33:27.275166-05
18029"953"34688"t"2019-09-08 14:33:39.502084-05"2019-09-08 14:33:39.506856-05"2019-09-08 14:33:39.506867-05
18030"953"34716"t"2019-09-08 14:33:45.746662-05"2019-09-08 14:33:45.751329-05"2019-09-08 14:33:45.751339-05
18031"953"34725"t"2019-09-08 14:33:53.193856-05"2019-09-08 14:33:53.198658-05"2019-09-08 14:33:53.19867-05
18032"953"34726"t"2019-09-08 14:34:00.011463-05"2019-09-08 14:34:00.016164-05"2019-09-08 14:34:00.016176-05
18033"954"34893"t"2019-10-03 06:51:28.302305-05"2019-10-03 06:51:28.307027-05"2019-10-03 06:51:28.307037-05
18034"954"34871"t"2019-10-03 06:51:36.991883-05"2019-10-03 06:51:36.997215-05"2019-10-03 06:51:36.997225-05
18035"954"34929"t"2019-10-03 06:51:43.621854-05"2019-10-03 06:51:43.62709-05"2019-10-03 06:51:43.627101-05
18036"954"22166"t"2019-10-03 06:51:57.180991-05"2019-10-03 06:51:57.187225-05"2019-10-03 06:51:57.187257-05
18037"954"34838"t"2019-10-03 06:52:02.416515-05"2019-10-03 06:52:02.42237-05"2019-10-03 06:52:02.422381-05
18038"954"34894"t"2019-10-03 06:52:07.254632-05"2019-10-03 06:52:07.259188-05"2019-10-03 06:52:07.259199-05
18039"954"34873"t"2019-10-03 06:52:13.872892-05"2019-10-03 06:52:13.877476-05"2019-10-03 06:52:13.877488-05
18040"954"35005"t"2019-10-03 06:52:20.047574-05"2019-10-03 06:52:20.052213-05"2019-10-03 06:52:20.052225-05
18041"954"34866"t"2019-10-03 06:52:27.830719-05"2019-10-03 06:52:27.835342-05"2019-10-03 06:52:27.835352-05
18042"954"35114"t"2019-10-03 06:52:34.016586-05"2019-10-03 06:52:34.021793-05"2019-10-03 06:52:34.021806-05
18044"954"34997"t"2019-10-03 06:53:02.208551-05"2019-10-03 06:53:02.213216-05"2019-10-03 06:53:02.213226-05
18045"954"34839"t"2019-10-03 06:53:06.691979-05"2019-10-03 06:53:06.696487-05"2019-10-03 06:53:06.696498-05
18046"954"34895"t"2019-10-03 06:53:11.930468-05"2019-10-03 06:53:11.937593-05"2019-10-03 06:53:11.937611-05
18047"954"34903"t"2019-10-03 06:53:16.366544-05"2019-10-03 06:53:16.371206-05"2019-10-03 06:53:16.371217-05
18048"954"34814"t"2019-10-03 06:53:22.022434-05"2019-10-03 06:53:22.027168-05"2019-10-03 06:53:22.027179-05
18049"954"34995"t"2019-10-03 06:53:26.809165-05"2019-10-03 06:53:26.815536-05"2019-10-03 06:53:26.815553-05
18050"954"27913"t"2019-10-03 06:53:35.476988-05"2019-10-03 06:53:35.48164-05"2019-10-03 06:53:35.481651-05
18051"954"35046"t"2019-10-03 06:53:41.506933-05"2019-10-03 06:53:41.511498-05"2019-10-03 06:53:41.511509-05
18053"954"34881"t"2019-10-03 06:53:47.229937-05"2019-10-03 06:53:47.236656-05"2019-10-03 06:53:47.236668-05
18055"954"34877"t"2019-10-03 06:53:53.507821-05"2019-10-03 06:53:53.512496-05"2019-10-03 06:53:53.512508-05
18056"954"34867"t"2019-10-03 06:54:00.960486-05"2019-10-03 06:54:00.965189-05"2019-10-03 06:54:00.965199-05
18057"954"34776"t"2019-10-03 06:54:01.732502-05"2019-10-03 06:54:01.737224-05"2019-10-03 06:54:01.737235-05
18058"954"34948"t"2019-10-03 06:54:07.32513-05"2019-10-03 06:54:07.330032-05"2019-10-03 06:54:07.330042-05
18059"954"35107"t"2019-10-03 06:54:13.588823-05"2019-10-03 06:54:13.593462-05"2019-10-03 06:54:13.593472-05
18061"954"34914"t"2019-10-03 06:54:20.089618-05"2019-10-03 06:54:20.094707-05"2019-10-03 06:54:20.094719-05
18063"954"34850"t"2019-10-03 06:54:26.615913-05"2019-10-03 06:54:26.620539-05"2019-10-03 06:54:26.62055-05
18064"954"35077"t"2019-10-03 06:54:31.737428-05"2019-10-03 06:54:31.743055-05"2019-10-03 06:54:31.743066-05
