id"maximum_capacity"created"updated"camp_id"grouping_id
206"12"2018-10-04 11:46:32.490696-05"2018-10-04 11:46:32.490728-05"20439"85
208"60"2018-10-04 11:46:54.177061-05"2018-10-04 11:46:54.177104-05"20439"13
210"60"2018-10-04 11:47:20.845854-05"2018-10-04 11:47:20.845886-05"20439"15
212"45"2018-10-04 11:47:56.468117-05"2018-10-04 11:47:56.468161-05"20439"6
214"45"2018-10-04 11:48:18.079119-05"2018-10-04 11:48:18.07915-05"20439"9
216"8"2018-10-04 11:52:42.827928-05"2018-10-04 11:52:42.827982-05"20437"92
218"8"2018-10-04 11:53:12.98557-05"2018-10-04 11:53:12.985601-05"20437"97
220"8"2018-10-04 11:53:44.989182-05"2018-10-04 11:53:44.989228-05"20437"99
222"8"2018-10-04 11:54:15.787276-05"2018-10-04 11:54:15.787309-05"20437"104
224"8"2018-10-04 11:54:49.356027-05"2018-10-04 11:54:49.356058-05"20437"109
226"8"2018-10-04 11:55:19.958974-05"2018-10-04 11:55:19.959029-05"20437"95
228"8"2018-10-04 11:55:50.585537-05"2018-10-04 11:55:50.585571-05"20437"100
230"8"2018-10-04 11:56:22.570271-05"2018-10-04 11:56:22.570329-05"20437"102
232"8"2018-10-04 11:56:52.075368-05"2018-10-04 11:56:52.075402-05"20437"107
234"8"2018-10-04 11:57:40.127182-05"2018-10-04 11:57:40.127219-05"20437"110
236"8"2018-10-04 11:58:10.774574-05"2018-10-04 11:58:10.774617-05"20437"112
198"17"2018-10-04 11:45:27.856242-05"2018-10-14 11:57:28.355532-05"20439"76
204"13"2018-10-04 11:46:15.784596-05"2018-10-14 11:57:28.364197-05"20439"82
239"10"2018-10-14 12:24:43.626156-05"2018-10-14 12:24:43.626188-05"20447"7
241"10"2018-10-14 12:25:19.01819-05"2018-10-14 12:25:19.018237-05"20447"9
244"35"2018-11-07 14:19:29.016344-06"2018-11-07 14:19:29.016377-06"20449"6
246"35"2018-11-07 14:20:10.088012-06"2018-11-07 14:20:10.088064-06"20449"9
248"50"2018-11-07 14:21:07.83102-06"2018-11-07 14:21:07.831073-06"20449"2
250"10"2018-11-07 14:24:49.893063-06"2018-11-07 14:24:49.893095-06"20449"75
252"10"2018-11-07 14:25:12.386794-06"2018-11-07 14:25:12.386827-06"20449"77
254"10"2018-11-07 14:26:05.637727-06"2018-11-07 14:26:05.637771-06"20449"79
256"10"2018-11-07 14:26:26.9526-06"2018-11-07 14:26:26.952644-06"20449"81
258"10"2018-11-07 14:27:03.576624-06"2018-11-07 14:27:03.576659-06"20449"83
260"10"2018-11-07 14:27:23.631793-06"2018-11-07 14:27:23.631838-06"20449"85
262"10"2018-11-07 14:27:43.317011-06"2018-11-07 14:27:43.317046-06"20449"87
264"10"2018-11-07 14:28:19.606156-06"2018-11-07 14:28:19.606201-06"20449"89
266"10"2018-11-07 14:29:00.162131-06"2018-11-07 14:29:00.162165-06"20449"113
268"10"2018-11-07 14:29:26.245738-06"2018-11-07 14:29:26.245783-06"20449"91
270"10"2018-11-07 14:29:49.792168-06"2018-11-07 14:29:49.792204-06"20449"115
272"10"2018-11-07 14:30:13.516095-06"2018-11-07 14:30:13.516128-06"20449"146
274"10"2018-11-07 14:30:40.910244-06"2018-11-07 14:30:40.910282-06"20449"93
276"10"2018-11-07 14:31:21.23095-06"2018-11-07 14:31:21.230989-06"20449"94
278"10"2018-11-07 14:32:11.308289-06"2018-11-07 14:32:11.308334-06"20449"96
280"10"2018-11-07 14:32:42.033175-06"2018-11-07 14:32:42.033207-06"20449"100
282"50"2018-11-10 09:58:34.347715-06"2018-11-10 09:58:34.347759-06"20450"2
284"10"2018-11-10 10:01:43.799367-06"2018-11-10 10:01:43.799417-06"20450"76
286"10"2018-11-10 10:02:00.850037-06"2018-11-10 10:02:00.850082-06"20450"78
287"10"2018-11-10 10:02:20.994651-06"2018-11-10 10:02:20.994699-06"20450"79
288"10"2018-11-10 10:02:28.293457-06"2018-11-10 10:02:28.29349-06"20450"80
289"10"2018-11-10 10:02:35.386109-06"2018-11-10 10:02:35.386158-06"20450"81
290"10"2018-11-10 10:02:42.50011-06"2018-11-10 10:02:42.500143-06"20450"82
291"10"2018-11-10 10:02:59.625535-06"2018-11-10 10:02:59.625572-06"20450"83
292"10"2018-11-10 10:03:06.111291-06"2018-11-10 10:03:06.111324-06"20450"84
293"10"2018-11-10 10:03:12.975857-06"2018-11-10 10:03:12.97589-06"20450"85
294"10"2018-11-10 10:03:20.663108-06"2018-11-10 10:03:20.663153-06"20450"86
295"10"2018-11-10 10:03:31.685907-06"2018-11-10 10:03:31.68594-06"20450"87
296"10"2018-11-10 10:03:38.967462-06"2018-11-10 10:03:38.967507-06"20450"89
297"10"2018-11-10 10:03:45.686047-06"2018-11-10 10:03:45.686104-06"20450"88
298"10"2018-11-10 10:03:52.267816-06"2018-11-10 10:03:52.26785-06"20450"90
299"10"2018-11-10 10:03:58.7199-06"2018-11-10 10:03:58.719951-06"20450"145
300"10"2018-11-10 10:04:16.926194-06"2018-11-10 10:04:16.926246-06"20450"146
301"10"2018-11-10 10:04:27.077944-06"2018-11-10 10:04:27.077988-06"20450"147
302"50"2018-11-10 10:07:52.835706-06"2018-11-10 10:07:52.835756-06"20450"13
303"50"2018-11-10 10:08:27.537257-06"2018-11-10 10:08:27.537312-06"20450"14
304"25"2018-11-10 10:08:54.941862-06"2018-11-10 10:08:54.941906-06"20450"6
305"25"2018-11-10 10:09:06.427925-06"2018-11-10 10:09:06.427959-06"20450"8
306"25"2018-11-10 10:09:21.685455-06"2018-11-10 10:09:21.68549-06"20450"7
307"25"2018-11-10 10:09:31.245189-06"2018-11-10 10:09:31.245224-06"20450"9
311"30"2019-01-22 16:04:13.909187-06"2019-01-22 16:04:13.90922-06"20508"1
312"30"2019-01-22 16:04:21.604471-06"2019-01-22 16:04:21.604501-06"20508"2
313"15"2019-01-22 16:04:33.997988-06"2019-01-22 16:04:33.99802-06"20508"7
314"15"2019-01-22 16:04:41.498278-06"2019-01-22 16:04:41.49831-06"20508"6
315"15"2019-01-22 16:04:48.387154-06"2019-01-22 16:04:48.387189-06"20508"8
